sentence,option1,option2,answer
"Although Tanya stretched before their run and Sarah didn't, _ got a cramp and had to stop.",Tanya,Sarah,1
The fish swam toward Eric and around Leslie because _ had the tasty fish pellets.,Eric,Leslie,1
A leg of lamb is a luxury but pig's heart is not because the _ is very cheap.,lamb,heart,2
It is extremely easy to measure a golf club using a ruler.  The _ is for sports.,ruler,club,2
"Katrina loaned their jacket to Carrie during the cold night, although _ was feeling cold themselves.",Katrina,Carrie,1
"Katrina loaned their jacket to Carrie during the cold night, because _ was feeling cold.",Katrina,Carrie,2
Angela prefers to wear skirts while Amy prefers long pants.  _  wears socks.,Angela,Amy,2
Angela prefers to wear skirts while Amy prefers long pants.  _  wears pantyhose.,Angela,Amy,1
Michael was telling Justin about this monster fish he caught his past weekend.  _ was reminiscent.,Michael,Justin,1
We didn't go to the bank as often as the ATM because the _ was a lot closer to home.,bank,ATM,2
Ian brought books for the kids while Eric brought toys because _ wanted to make babysitting fun.,Ian,Eric,2
"While Victoria preferred fruits, Felicia preferred to eat vegetables because _ liked foods that were naturally sweet.",Victoria,Felicia,1
"While Victoria preferred fruits, Felicia preferred to eat vegetables because _ liked foods that were naturally savory.",Victoria,Felicia,2
"Mary has bad dandruff, but Cynthia has never had that issue. _ lives in a wetter climate.",Mary,Cynthia,2
"Mary has bad dandruff, but Cynthia has never had that issue. _ lives in a dryer climate.",Mary,Cynthia,1
Robert prepared a powerpoint presentation to show Kenneth the state of the economy because _ is the president.,Robert,Kenneth,2
Betty wanted to do a deal to sort out a problem but Sarah would not because _ was a very peaceful person.,Betty,Sarah,1
Playing music came much more naturally to Hunter than Kevin although _ hated the clarinet.,Hunter,Kevin,1
The spray cleaned the windows better than it cleaned the walls because the _ were non-porous.,windows,walls,1
"Natalie liked the chair they just bought and Betty always wanted it, so _ is sad right now.",Natalie,Betty,2
"The children of Hunter were very polite unlike the kids of Jeffrey, due to _ raising them wrong.",Hunter,Jeffrey,2
Samantha helped Rachel study for her high school exams because _ is a good student.,Samantha,Rachel,2
"Everyone wanted to be a mermaid at the Halloween party, but the costume at the store only fit Christine and not Jennifer because _ was slender.",Christine,Jennifer,1
"Everyone wanted to be a mermaid at the Halloween party, but the costume at the store only fit Christine and not Jennifer because _ was obese.",Christine,Jennifer,2
The farmer grew his potatoes without using pesticides because he didn't want the _ to destroy.,potatoes,pesticides,2
Jean preferred to use the scrub over the body soap to clean off dead skin because the _ was harsher.,scrub,body soap,1
Jean preferred to use the scrub over the body soap to clean off dead skin because the _ was too gentle.,scrub,body soap,2
The pig needed a bath but we went through the wash rather than using the hose since the _ covered most of the pig.,wash,hose,1
"Samuel could really smell the wet dog on the furniture of the rental, whereas Matthew couldn't despite  _ having a stronger sense of smell.",Samuel,Matthew,2
Gem went to get new supplies for her hamster and she found snacks and exercise balls She chose the _ because her hamster was fat.,exercise balls,snacks,1
Gem went to get new supplies for her hamster and she found snacks and exercise balls She chose the _ because her hamster was skinny.,exercise balls,snacks,2
"Samuel always wore a condom when the met a new lover, but Craig rarely ever wore on. _ caught genital warts from a dirty girl.",Samuel,Craig,2
"Samuel always wore a condom when the met a new lover, but Craig rarely ever wore on. _ never contracted genital warts from a dirty girl.",Samuel,Craig,1
Cynthia but not Maria will be put on punishment because _ did not break the glass in the kitchen.,Cynthia,Maria,2
Natalie was being cold to Katrina because _ was angry about the broken gold necklace that had sentimental value.,Natalie,Katrina,1
Natalie was being cold to Katrina because _ broke her gold necklace that had sentimental value.,Natalie,Katrina,2
Jason hated walking the runway more than taking photographs because the audience could be rowdy but the _ meant there would not be an audience.,runway,photographs,2
The pan placed over the flame do not get hot fast enough because the _ is low.,pan,flame,2
The pan placed over the flame do not get hot fast enough because the _ is high.,pan,flame,1
Michael had such a simple life compared to Steven because _ came from a poor family.,Michael,Steven,2
Michael had such a simple life compared to Steven because _ came from a rich family.,Michael,Steven,1
"I tried to hook my shoe organizer onto my door, but it failed to fit because the _ is too thick; so I put it on a smaller door.",door,hook,1
"I tried to hook my shoe organizer onto my door, but it failed to fit because the _ is too short; so I put it on a smaller door.",door,hook,2
"Jennifer had to drive Lindsey to school on Monday, because _ was the only one with a class.",Jennifer,Lindsey,2
Joey bought some caramel glazing to use for bread decoration but the _ was too big.,bread,glazing,1
Joey bought some caramel glazing to use for bread decoration but the _ was not enough.,bread,glazing,2
Lawrence asked Eric to show him and his kids how to whistle really loud but _ reconsidered.,Lawrence,Eric,1
Kenneth went to the store to buy a cage for William's new pet rabbit. _ was happy to get a new home for the rabbit.,Kenneth,William,2
Kenneth went to the store to buy a cage for William's new pet rabbit. _ was surprised at the cost of a new home for the rabbit.,Kenneth,William,1
The man had to replace his shoes after his vest because the leather on the _ was cracked.,shoes,vest,2
"Copper was one of the more expensive metals. More so than bronze, since the _ was rare.",copper,bronze,1
Lindsey wanted to write a letter to Betty even though she knew _ would never send it.,Lindsey,Betty,1
Donald invited Brett to Paris because _ knew how to speak the native language perfectly.,Donald,Brett,2
Donald invited Brett to Paris because _ didn't know how to speak the native language.,Donald,Brett,1
"Angela liked to take a long relaxing bath after work while Sarah only takes showers, so _ took a long shower after work.",Angela,Sarah,2
"At yoga class Patricia directed everyone in class, including Megan, to stretch their inner thighs. _ was an experienced yoga teacher so  could reach  toes.",Patricia,Megan,1
Derrick paid for their dinner but Steven wanted their's for free because _ was generous.,Derrick,Steven,1
Derrick paid for their dinner but Steven wanted their's for free because _ was mean.,Derrick,Steven,2
"Donald apologized to Craig and accepted the blame and consequences, because _ is an honest person.",Donald,Craig,1
"Emily had big dreams of becoming an actress, unlike Cynthia, so _ moved to the country.",Emily,Cynthia,2
Susan was making a cake for a party and she had an egg but didn't have milk. It was unnecessary to go to the store for the _ .,egg,milk,1
"Despite being allergic to mango sap, Samantha wants to try Victoria's mango ice cream, but _ tries only one drop initially.",Samantha,Victoria,1
We liked the comedy show more than we liked the play because the performers interacted with us less during the _ .,play,comedy show,1
"James tried to fix his hair by using a new brand of hair gel and comb, but the _ was excessively sticky.",gel,comb,1
"James tried to fix his hair by using a new brand of hair gel and comb, but the _ had quickly broken.",gel,comb,2
"After buying the animals food, the medicine treat for the dog was better than the syringe since the _ was full of medicine.",treat,syringe,1
"Everyone was angry that an apartment block was built next to the church, since the _ was new.",church,apartment block,2
The pizza was warmer than the hot dog because the _ was in the oven for a shorter amount of time.,pizza,hot dog,2
Gem went to the pool to either dive or float. He chose to do the _ because it was risky.,dive,float,1
I couldn't zip the backpack with the book in it because the _ is too tall.,book,backpack,1
It appears more jars can easily fit into the bags if attempted. He never know the _ are that small.,jars,bags,1
It appears more jars can easily fit into the bags if attempted. He never know the _ are that big.,jars,bags,2
Melissa went through the medical procedure and afterwards was given vitamins instead of painkillers because the _ were unnecessary.,vitamins,painkillers,2
"Brett called a friend to help raking the yard unlike Adam who did it himself, because _ was lazy.",Brett,Adam,1
Gary took a vitamin c and a calcium supplement. He took the _ because he didn't eat fruit.,Vitamin C,calcium,1
"I tried to move the table as I had moved the chair, but had more problems with the table because the _ was lighter.",table,chair,2
Mike wanted to take the cooler on vacation but took the cup instead because the _ had a broken lid.,cooler,cup,1
Mike wanted to take the cooler on vacation but took the cup instead because the _ had a new lid.,cooler,cup,2
"In an effort to control kennel cough, Emily sent Maria to get the medication but _ was busy examining the animals.",Emily,Maria,2
"In an effort to control kennel cough, Emily sent Maria to get the medication because _ was busy examining the animals.",Emily,Maria,1
Robert wanted carpeting on the floor and Eric didn't because _ knew that vacuuming was easier than sweeping.,Robert,Eric,1
The man's profile did not fit onto one page because the _ was too lengthy.,profile,page,1
As soon as the sun came out Megan wanted a popsicle while Amy preferred froyo. _ was lactose intolerant.,Megan,Amy,1
As soon as the sun came out Megan wanted a popsicle while Amy preferred froyo. _ was obsessed with frozen yogurt.,Megan,Amy,2
"I put the flowers in vases on the table, but they fell over. The _ were too big.",vases,flowers,2
"While Maria rode the bus to work, Megan rode a motorcycle because _ had an unexpired license.",Maria,Megan,2
"While Maria rode the bus to work, Megan rode a motorcycle because _ had an expired license.",Maria,Megan,1
James could not hear the sound of his television in his neighborhood because the _ is too noisy.,neighborhood,television,1
James could not hear the sound of his television in his neighborhood because the _ is too quite.,neighborhood,television,2
"I tried to fit the jacket into the backpack, but the _ was too compact.",backpack,jacket,1
"The car was quick when it used electricity instead of gasoline, because it was made to run on the _ less efficiently.",gasoline,electricity,1
"Barb thought the smell of the bleach was too overwhelming, nevertheless she ignored the _ anyways.",bleach,smell,2
Kyle helped his parents with some money while Steven bought a new car instead. They were proud of _ .,Kyle,Steven,1
 _ hates chocolates so Patricia received chocolates as a gift for their once a year birthday from Carrie.,Patricia,Carrie,2
"He was tired after sleeping on the sofa, but not on the love seat, because the _ was soft.",sofa,love seat,2
"He was tired after sleeping on the sofa, but not on the love seat, because the _ was lumpy.",sofa,love seat,1
"John could not see the fish in the tank, but clearly saw the fish in the aquarium, because the water in the _ was dirty.",tank,aquarium,1
Benjamin has whiter teeth than Jason because _ uses a toothpaste with baking soda in it.,Benjamin,Jason,1
Benjamin has whiter teeth than Jason because _ does not use a toothpaste with baking soda in it.,Benjamin,Jason,2
Harvey was writing a graphic novel and used male characters instead of female characters because the _ were not liked by female readers.,male,female,2
My husband told me to use nutella instead of peanut butter to spread on his bread as the _ has a sugary taste.,nutella,peanut butter,1
Steven went to see Leslie at the DMV to get a new license because _ is a government employee.,Steven,Leslie,2
The car gripped the asphalt better than the truck although the _ had poor traction.,car,truck,1
Megan called to invite Amy to a barbecue during the holiday weekend as _ knew no one in the small town.,Megan,Amy,2
"James do not want the apple plucked last week, so he decided to pick the newly plucked orange. The _ is stale.",apple,orange,1
The package said to cook the meat in a skillet but sally decided to use a pan instead. The _ didn't have a lid and would cook slower.,skillet,pan,1
"Using deodorant regularly was a priority for Tanya, but not for Betty, and as a result nobody felt the need to avoid _ .",Tanya,Betty,1
"Jen wanted either hot green tea or iced green tea. Since it was 100 degrees, she decided to choose the _ as it was hotter.",iced green tea,hot green tea,2
"Brian was in charge of planning a cruise, when Joseph decided to not go.  _ was relieved he understood.",Brian,Joseph,2
The man prays for Aaron way more than Matthew right now because _ is very healthy.,Aaron,Matthew,2
The waiter could not cover the round tables with the square tablecloths because the _ were square.,tablecloths,tables,1
I threw the glass against the wall and it broke because the _ is too weak.,wall,glass,2
"Bob finished eating his oranges but couldn't eat all his watermelons, because there was a minuscule amount of the _ .",oranges,watermelons,1
"Bob finished eating his oranges but couldn't eat all his watermelons, because there was a grand amount of the _ .",oranges,watermelons,2
He used his own body wash instead of the soap the hotel provided for his bath. He thought the _ had an inconspicuous scent.,soap,body wash,2
Kayla was much taller than Samantha so _ scored very few points while playing basketball.,Kayla,Samantha,2
The thick frames were needed by the student unlike the contacts as the _ were obvious.,frames,contacts,1
Using a wood router to make door frames was done only by Eric but not Benjamin because _ liked using electric tools.,Eric,Benjamin,1
Tanya had a more painful experience with a piercing than Felicia because _ got a tongue piercing.,Tanya,Felicia,1
Tanya had a more painful experience with a piercing than Felicia because _ got an ear piercing.,Tanya,Felicia,2
"Derrick has trouble at night unlike Robert ,for  _ it is nothing to wake up during the night and stay awake.",Derrick,Robert,1
"Derrick has trouble at night unlike Robert ,for  _ it is out of the ordinary to wake up during the night and stay awake.",Derrick,Robert,2
Justin smiled a lot to Randy when _ told something nice about his job performance to him.,Justin,Randy,2
"Even though Laura was overall a better student than Angela, _ hated to read new books.",Laura,Angela,1
James could not finish drawing the diagram within the time give. The _ is big.,diagram,time,1
Nelson finished the mile run faster than Ian because _ liked to relax every day.,Nelson,Ian,2
The feast had to be cancelled after everyone saw the tablecloth and the table because the _ was too small.,table,tablecloth,2
"Mary's family celebrates Christmas every year, while Tanya does not celebrate because _ is Jewish.",Mary,Tanya,2
James doctor suggested he start eating food high in nutrients and after looking at the donuts and carrots at the store he added the _ when checking out.,donuts,carrots,2
James doctor suggested he start eating food high in nutrients and after looking at the donuts and carrots at the store he removed the _ when checking out.,donuts,carrots,1
"Mark put the t shirts in the washing machine and the pants in the dryer, because the _ were dirty.",t shirts,pants,1
"The brussels sprouts Christine grows are not as good looking as Natalie's, so _ 's are likely nastier tasting.",Christine,Natalie,1
"Jason suggests that they run quickly through the rain and pretend it's falling lava, because the _ isn't really that exciting.",rain,lava,1
The students cannot hear the teacher's voice because of the noise from the other class. The _ is low.,noise,voice,2
"Jessica' s ponytail braid did not reach as far down her back as Mary's, because _ had shorter hair.",Jessica,Mary,1
"Because Brian lived in a very cold climate while Joel lived in a warm climate, _ had to dress in very few layers.",Brian,Joel,2
"Because Brian lived in a very cold climate while Joel lived in a warm climate, _ had to dress in several layers.",Brian,Joel,1
Erin but not Rachel was looked at funny because _ did not have a huge eyebrow piercing.,Erin,Rachel,2
The old jeans no longer fit Craig but did fit Lawrence because _ hadn't gained weight over the years.,Craig,Lawrence,2
"When out looking for an apartment, Angela asked Lindsey what they wanted because _ has strict requirements.",Angela,Lindsey,2
"Jason got into a deep financial hole, unlike Joel, because _ managed their fortune well.",Jason,Joel,1
"Jason got into a deep financial hole, unlike Joel, because _ managed their fortune poorly.",Jason,Joel,2
"At the smoothie bar Victoria decided to buy Erin their first wheatgrass smoothie, because _ thought they were delicious.",Victoria,Erin,1
"At the smoothie bar Victoria decided to buy Erin their first wheatgrass smoothie, but _ thought they were gross.",Victoria,Erin,2
Joel was scared of needles so Hunter recommended taking pills. _ was a patient at the hospital .,Joel,Hunter,1
"Natalie felt most comfortable wearing a skirt, however Amy found jeans more to their liking. _ bought a cute new sundress at the mall.",Natalie,Amy,1
"Recycling is a huge priority of Angela while Rachel couldn't care less, however _ avoids the encouragement to recycle.",Angela,Rachel,2
"When visiting Nice, she organized more trips to the caves than to the gardens because the _ are a lot more deserted.",gardens,caves,2
Jessica asked Erin many questions about activites in Washington because _ used to live there.,Jessica,Erin,2
We got new tiling for the home and quickly replaced the old floor as the _ was expandable.,tiling,floor,1
"When the functions were calculated, it took longer than the equations, so the _ were complicated.",functions,equations,1
Steve got more bites on his legs when he wore shorts than pants because the _ covered his legs.,pants,shorts,1
"Matthew was a considerate co-worker but Christopher was not, because _ never microwaved tilapia in the office kitchen.",Matthew,Christopher,1
"Matthew was a considerate co-worker but Christopher was not, because _ often microwaved tilapia in the office kitchen.",Matthew,Christopher,2
"Cynthia lived in Alaska while Amy lived in Hawaii, so _ was not used to the cold weather.",Cynthia,Amy,2
The man grabbed the rake instead of the broom to knock the ball off of the roof because the _ was shorter.,rake,broom,2
The man grabbed the rake instead of the broom to knock the ball off of the roof because the _ was longer.,rake,broom,1
Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were better received.,checks,clothes,1
Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were worse received.,checks,clothes,2
The pregnant woman could digest the sauerkraut easier than the cauliflower since the _ is softer.,cauliflower,sauerkraut,2
"Ash wanted to gain weight so when he saw vegetables and cookies, he piled the _ on his plate.",vegetables,cookies,2
The tape that Gina used for her package as a surprise for Danielle was very strong.  Neverless the _ was colorless.,surprise,tape,2
"Adam got bitten by a dog, Jason laughed at him. Their father yelled at _ .",Adam,Jason,2
"The man was able to carry the box but dropped the bag, because the _ was heavier.",box,bag,2
Mary was planing to get married and have Katrina be a flower girl because _ wanted someone who was young.,Mary,Katrina,1
Jason washed their hands with soap but not Donald because _ was unafraid of bacteria.,Jason,Donald,2
"Cynthia took out the trash while Maria did the dishes, and _ did their chores indoors.",Cynthia,Maria,2
"Cynthia took out the trash while Maria did the dishes, and _ did their chores outdoors.",Cynthia,Maria,1
"Rather than play by the rules, Robert chose to elbow Hunter during the basketball game because _ was rebellious.",Robert,Hunter,1
Brian rested on the large bed as Kevin studied because _ was very behind in school.,Brian,Kevin,2
Brian rested on the large bed as Kevin studied because _ was very tired from work.,Brian,Kevin,1
"Benjamin could hold difficult yoga poses for minutes, which impressed the less fit Leslie, since _ was so nimble by comparison.",Benjamin,Leslie,1
Christine is very creative and clever but Sarah isn't. _ has been unable to patent any of their ideas.,Christine,Sarah,2
Randy suffers from very bad headaches but Joseph does not. _ went to the store to get some aspirin.,Randy,Joseph,1
Randy suffers from very bad headaches but Joseph does not. _ went to the store to get some flu medicine.,Randy,Joseph,2
"The fasting was a lot worse than the diet, because with the _ you couldn't eat at times.",fasting,diet,1
Ryan tolerated a lot of ginger in their food unlike Kevin because _ had dulled taste buds.,Ryan,Kevin,1
Ryan tolerated a lot of ginger in their food unlike Kevin because _ had keen taste buds.,Ryan,Kevin,2
The woman wanted to host a huge anniversary party in the shop but the _ was too big.,party,shop,1
The rump steak was tough and chewy but the T bone was succulent so Paul ate the _ steak.,succulent,chewy,1
Rebecca was young when they left home and Monica was older because _ had a good home life.,Rebecca,Monica,2
Rebecca was young when they left home and Monica was older because _ had a bad home life.,Rebecca,Monica,1
William had to go to Brett for some relationship advice. _ had a successful relationship because they were experienced with talking.,William,Brett,2
"During her morning regimen, Shirley would apply moisture to her face but not makeup because the _ was natural.",moisture,makeup,1
The baker tried to store the shortbread in the basket but the _ was too large.,basket,shortbread,2
Justin asked Steven if it would be alright if they shopped in the petite section at the department store as _ is extremely tall.,Justin,Steven,2
Justin asked Steven if it would be alright if they shopped in the petite section at the department store as _ is extremely short.,Justin,Steven,1
Carrie faced the fan away from Angela because _ was getting too warm in the kitchen.,Carrie,Angela,1
Carrie faced the fan toward Angela because _ was getting too warm in the kitchen.,Carrie,Angela,2
"The case was supposed to fit the firearm, but it didn't because the _ was too long.",case,firearm,2
"The case was supposed to fit the firearm, but it didn't because the _ was too short.",case,firearm,1
"After the birth of her baby, Betty had postpartum depression so Tanya assisted with the baby allowing _ to feel relaxed.",Betty,Tanya,1
"Cutting down on sugary beverages was difficult for William, though Aaron found it easy. _ had never liked to drink soda.",William,Aaron,2
"The arrow missed the target by only a foot, as the _ was positioned poorly.",arrow,target,2
"The wall was set up just outside of the castle gate to defend it from attack, as the _ would be weak against the battering ram.",wall,castle gate,2
"The car windshield cracked when Lawrence slammed Adam into it, because _ was very heavy..",Lawrence,Adam,2
"Kayla is called, after the water heater of Amy is acting up, because _ is a good apartment tenant.",Kayla,Amy,2
"My foot itch so bad but it wasn't as bad as the burn, because the _ was fairly mild.",itch,burn,1
"My foot itch so bad but it wasn't as bad as the burn, because the _ was very intense.",itch,burn,2
Victoria wanted the attention and interest of Jessica so _ did a cute little dance.,Victoria,Jessica,1
Victoria wanted the attention and interest of Jessica so _ watched his cute little dance.,Victoria,Jessica,2
Angela was diurnal while Erin was nocturnal so _ preferred to stay out late at night.,Angela,Erin,2
Angela was nocturnal while Erin was diurnal so _ preferred to stay out late at night.,Angela,Erin,1
"Using organization to clean up, Terrence chose to use smaller wooden boxes instead of larger plastic boxes to make them easier to carry because the _ ones were light.",plastic,wooden,2
"Betty loved the scent of the coconut shampoo Mary bought, so _ told her where she could buy some of her own.",Betty,Mary,2
He went to put his hands inside the mittens to keep warm but the _ were too small for them.,hands,mittens,2
He went to put his hands inside the mittens to keep warm but the _ were too big for them.,hands,mittens,1
"The school deferred teaching of languages to the clinic, as the _ was deficient in expertise in this subject.",school,clinic,1
Rebecca will jog past Sarah every morning because _ prefers to be in last place.,Rebecca,Sarah,2
The mother said William was easier to potty train than Ryan because _ was less mature.,William,Ryan,2
The mother said William was easier to potty train than Ryan because _ was more mature.,William,Ryan,1
"The man climbed to the top of the ladder but could not reach the light, because the _ was too low.",ladder,light,1
She left the coach and headed to the taxi so she could take a faster route but the _ was actually faster.,coach,taxi,1
The resin table got a scratch as I was cleaning it with a brush because the _ was too hard.,brush,resin,1
"Victoria was a prisoner and Carrie was a guard, so it was a good day for _ when they escaped their shift.",Victoria,Carrie,2
After Logan contracted the chickenpox from Joseph so _ spent the day sending nice texts about it.,Logan,Joseph,2
After Logan contracted the chickenpox from Joseph so _ spent the day sending mean texts about it.,Logan,Joseph,1
"The man lost weight after he burned fat and lost some muscle, the _ was lighter.",muscle,fat,2
"The man lost weight after he burned fat and lost some muscle, the _ was heavier.",muscle,fat,1
"The pageant winner's lace dress was noticed by all who attended, because the _ was very fine.",dress,lace,2
"The pageant winner's lace dress was noticed by all who attended, because the _ was very short.",dress,lace,1
"Rachel handed Carrie twenty dollars at the cash register, so _ could purchase the collar for the puppy.",Rachel,Carrie,1
"Joel would always wash his car every morning unlike Logan, due to _ being a normal person.",Joel,Logan,2
Lindsey enjoyed eating a lot of food with carbs but not Victoria because _ was unhealthy.,Lindsey,Victoria,1
The engine of Lindsey's car had more problems than Kayla's because _ neglected it all the time.,Lindsey,Kayla,1
Lindsey had watery eyes but not Patricia because _ was storing onions in the kitchen.,Lindsey,Patricia,2
Lindsey had watery eyes but not Patricia because _ was cutting onions in the kitchen.,Lindsey,Patricia,1
Adam was an Academy Award winner but Brett was just a fan so _ gave him an autograph.,Adam,Brett,1
Angela had really terrible skin and Maria did not.  _ bought a face mask at the store.,Angela,Maria,1
Angela had really terrible skin and Maria did not. _ put a face mask back at the store.,Angela,Maria,2
"When Tanya asked Emily questions about the dead cat found at the corner of the park, _ had strong evidence already.",Tanya,Emily,1
Laura offered her condolences to her friend Patricia at her mother's funeral. _ was upset by her loss.,Laura,Patricia,2
"To avoid separation, Randy followed closely behind Kyle because _ was very familiar with the area.",Randy,Kyle,2
"To avoid separation, Randy followed closely behind Kyle because _ was new to the area.",Randy,Kyle,1
Jessica could see the clear out of the forest while Mary came up with a plan because _ was a leader.,Jessica,Mary,2
Jessica could see the clear out of the forest while Mary came up with a plan because _ had binoculars.,Jessica,Mary,1
The beautiful girl walked past Tanya and not Elena because she recognized _ from the past.,Tanya,Elena,2
"He had to look up a lot more when bouncing the tennis balls than with the golf balls, because the _ went lower.",tennis balls,golf balls,2
"He had to look up a lot more when bouncing the tennis balls than with the golf balls, because the _ went higher.",tennis balls,golf balls,1
"Math was very hard for Hunter, but not for Brian, so _ used a more visual method.",Hunter,Brian,1
